Number,R,G,B
975,136,88,72
445,250,219,126
307,252,219,84
973,255,214,60
444,255,207,42
3078,255,245,145
727,255,225,110
726,255,214,83
725,255,203,75
972,255,180,44
745,255,235,135
744,255,217,113
743,255,188,75
742,255,171,73
741,255,155,46
740,255,127,46
970,240,107,63
947,230,95,64
946,220,85,65
900,207,76,66
967,255,193,173
3824,255,173,156
3341,255,144,121
3340,255,121,91
608,255,93,73
606,238,70,67
951,255,231,215
3856,248,178,135
722,255,148,87
721,228,114,67
720,224,93,40
3825,241,171,141
922,246,127,76
921,208,119,82
920,171,90,74
919,160,70,58
918,151,76,69
3770,254,225,200
945,228,184,170
402,230,144,110
3776,202,112,77
301,182,99,65
400,142,76,61
300,121,70,61
225,249,193,189
224,240,174,178
152,238,155,165
223,187,107,120
3722,175,97,109
3721,158,79,92
221,134,64,71
948,250,210,189
754,255,190,164
3771,240,168,147
758,235,161,142
3778,212,124,114
356,171,93,88
3830,169,82,81
355,152,68,69
3777,139,65,67
3779,255,198,187
3859,182,112,107
3858,127,72,76
3857,111,66,68
20,240,220,200
21,210,160,140
22,180,100,80
3774,244,211,196
950,255,212,190
3064,187,127,114
407,183,129,123
3772,164,110,102
632,145,92,86
453,200,189,186
452,180,163,172
451,127,110,115
3861,160,130,130
3860,135,108,110
779,100,76,83
9,48,42,42
712,253,236,216
739,237,211,188
738,233,186,151
437,236,181,142
436,191,124,87
435,179,114,67
434,164,97,66
433,131,87,63
801,134,90,76
898,111,85,78
938,101,72,66
3371,72,60,62
543,239,208,195
3864,200,170,140
3863,148,120,85
3862,107,79,45
3031,35,30,26
3865,244,242,236
822,205,201,183
644,175,170,135
642,137,132,87
640,102,94,65
3787,90,75,48
3021,69,58,41
844,50,50,50
3033,230,230,200
3782,157,143,102
3032,133,117,75
3790,96,83,56
3781,59,49,32
5,151,149,148
6,131,126,123
7,123,116,106
8,86,79,70
3866,212,216,190
842,180,163,130
841,144,115,71
840,106,82,42
839,51,34,20
838,34,26,20
3072,215,242,188
647,204,212,142
3023,195,198,125
3022,172,180,110
3024,220,230,210
648,180,200,180
646,165,185,165
645,150,170,150
762,199,200,220
415,178,180,200
318,147,154,180
414,119,125,150
1,180,180,180
2,160,160,160
3,140,140,140
4,120,120,120
535,99,96,96
168,199,209,191
169,139,148,148
317,119,123,127
413,95,105,112
3799,72,78,82
310,0,0,0
